adim,fuel,fan,sicaklik,o2,efficiency
0,12.0,1000.0,947.93,5.135,0.7319
1,12.02,1000.0,945.32,5.61,0.711
2,12.04,1000.0,942.43,5.963,0.696
3,12.06,1000.0,939.42,6.226,0.6859
4,12.08,1000.0,936.4,6.42,0.6793
5,12.1,1000.0,933.44,6.564,0.6751
6,12.12,1000.0,930.57,6.669,0.6725
7,12.14,1000.0,927.82,6.746,0.671
8,12.16,1000.0,925.2,6.801,0.6703
9,12.18,1000.0,922.71,6.84,0.67
10,12.2,1000.0,920.36,6.867,0.6702
11,12.22,1000.0,918.14,6.885,0.6705
12,12.24,1000.0,915.86,6.896,0.6711
13,12.261,1000.0,913.73,6.902,0.6719
14,12.281,1000.0,911.72,6.904,0.6726
15,12.301,1000.0,909.84,6.903,0.6735
16,12.321,1000.0,908.08,6.9,0.6743
17,12.341,1000.0,906.42,6.895,0.6752
18,12.361,1000.0,904.87,6.889,0.676
19,12.381,1000.0,903.42,6.883,0.6768
20,12.401,1000.0,902.07,6.875,0.6776
21,12.421,1000.0,900.8,6.867,0.6784
22,12.441,1000.0,899.61,6.859,0.6792
23,12.461,1000.0,898.5,6.85,0.68
24,12.481,1000.0,897.47,6.842,0.6807
25,12.501,1000.0,896.5,6.833,0.6814
26,12.521,1000.0,895.59,6.824,0.6821
27,12.541,1000.0,894.75,6.814,0.6828
28,12.561,1000.0,893.97,6.805,0.6834
29,12.581,1000.0,893.24,6.796,0.684
30,12.601,1000.0,892.55,6.787,0.6846
31,12.621,1000.0,891.92,6.777,0.6852
32,12.641,1000.0,891.33,6.768,0.6858
33,12.661,1000.0,890.79,6.758,0.6864
34,12.681,1000.0,890.28,6.749,0.6869
35,12.701,1000.0,889.81,6.74,0.6874
36,12.721,1000.0,889.37,6.73,0.688
37,12.741,1000.0,888.97,6.721,0.6885
38,12.762,1000.0,888.6,6.711,0.689
39,12.782,1000.0,888.26,6.702,0.6894
40,12.802,1000.0,887.95,6.692,0.6899
41,12.822,1000.0,887.66,6.683,0.6904
42,12.842,1000.0,887.39,6.673,0.6908
43,12.862,1000.0,887.15,6.664,0.6913
44,12.882,1000.0,886.94,6.655,0.6917
45,12.902,1000.0,886.74,6.645,0.6922
46,12.922,1000.0,886.56,6.636,0.6926
47,12.942,1000.0,886.4,6.626,0.693
48,12.962,1000.0,886.25,6.617,0.6934
49,12.982,1000.0,886.13,6.607,0.6938
50,13.002,1000.0,886.01,6.598,0.6942
51,13.022,1000.0,885.92,6.588,0.6946
52,13.042,1000.0,885.83,6.579,0.695
53,13.062,1000.0,885.76,6.57,0.6954
54,13.082,1000.0,885.7,6.56,0.6958
55,13.102,1000.0,885.66,6.551,0.6962
56,13.122,1000.0,885.62,6.541,0.6966
57,13.142,1000.0,885.59,6.532,0.6969
58,13.162,1000.0,885.58,6.522,0.6973
59,13.182,1000.0,885.57,6.513,0.6977
60,13.202,1000.0,885.57,6.503,0.6981
61,13.222,1000.0,885.58,6.494,0.6984
62,13.242,1000.0,885.6,6.485,0.6988
63,13.263,1000.0,885.62,6.475,0.6991
64,13.283,1000.0,885.65,6.466,0.6995
65,13.303,1000.0,885.69,6.456,0.6999
66,13.323,1000.0,885.74,6.447,0.7002
67,13.343,1000.0,885.79,6.437,0.7006
68,13.363,1000.0,885.85,6.428,0.7009
69,13.383,1000.0,885.91,6.418,0.7013
70,13.403,1000.0,885.97,6.409,0.7017
71,13.423,1000.0,886.05,6.399,0.702
72,13.443,1000.0,886.12,6.39,0.7024
73,13.463,1000.0,886.2,6.381,0.7027
74,13.483,1000.0,886.29,6.371,0.7031
75,13.503,1000.0,886.38,6.362,0.7034
76,13.523,1000.0,886.47,6.352,0.7038
77,13.543,1000.0,886.57,6.343,0.7041
78,13.563,1000.0,886.67,6.333,0.7045
79,13.583,1000.0,886.78,6.324,0.7048
80,13.603,1000.0,886.88,6.314,0.7052
81,13.623,1000.0,886.99,6.305,0.7055
82,13.643,1000.0,887.11,6.296,0.7059
83,13.663,1000.0,887.22,6.286,0.7062
84,13.683,1000.0,887.34,6.277,0.7066
85,13.703,1000.0,887.47,6.267,0.7069
86,13.723,1000.0,887.59,6.258,0.7073
87,13.743,1000.0,887.72,6.248,0.7076
88,13.764,1000.0,887.85,6.239,0.708
89,13.784,1000.0,887.98,6.229,0.7083
90,13.804,1000.0,888.11,6.22,0.7087
91,13.824,1000.0,888.25,6.21,0.709
92,13.844,1000.0,888.39,6.201,0.7094
93,13.864,1000.0,888.53,6.192,0.7097
94,13.884,1000.0,888.67,6.182,0.7101
95,13.904,1000.0,888.82,6.173,0.7104
96,13.924,1000.0,888.96,6.163,0.7108
97,13.944,1000.0,889.11,6.154,0.7112
98,13.964,1000.0,889.26,6.144,0.7115
99,13.984,1000.0,889.41,6.135,0.7119
100,14.004,1000.0,889.57,6.125,0.7122
101,14.024,1000.0,889.72,6.116,0.7126
102,14.044,1000.0,889.88,6.107,0.7129
103,14.064,1000.0,890.04,6.097,0.7133
104,14.084,1000.0,890.2,6.088,0.7136
105,14.104,1000.0,890.36,6.078,0.714
106,14.124,1000.0,890.52,6.069,0.7143
107,14.144,1000.0,890.69,6.059,0.7147
108,14.164,1000.0,890.85,6.05,0.715
109,14.184,1000.0,891.02,6.04,0.7154
110,14.204,1000.0,891.19,6.031,0.7158
111,14.224,1000.0,891.36,6.022,0.7161
112,14.244,1000.0,891.53,6.012,0.7165
113,14.265,1000.0,891.7,6.003,0.7168
114,14.285,1000.0,891.88,5.993,0.7172
115,14.305,1000.0,892.05,5.984,0.7175
116,14.325,1000.0,892.23,5.974,0.7179
117,14.345,1000.0,892.41,5.965,0.7183
118,14.365,1000.0,892.59,5.955,0.7186
119,14.385,1000.0,892.77,5.946,0.719
120,14.405,1000.0,892.95,5.936,0.7193
121,14.425,1000.0,893.13,5.927,0.7197
122,14.445,1000.0,893.32,5.918,0.7201
123,14.465,1000.0,893.5,5.908,0.7204
124,14.485,1000.0,893.69,5.899,0.7208
125,14.505,1000.0,893.88,5.889,0.7211
126,14.525,1000.0,894.07,5.88,0.7215
127,14.545,1000.0,894.26,5.87,0.7219
128,14.565,1000.0,894.45,5.861,0.7222
129,14.585,1000.0,894.64,5.851,0.7226
130,14.605,1000.0,894.84,5.842,0.7229
131,14.625,1000.0,895.03,5.833,0.7233
132,14.645,1000.0,895.23,5.823,0.7236
133,14.665,1000.0,895.43,5.814,0.724
134,14.685,1000.0,895.63,5.804,0.7244
135,14.705,1000.0,895.83,5.795,0.7247
136,14.725,1000.0,896.03,5.785,0.7251
137,14.745,1000.0,896.23,5.776,0.7254
138,14.766,1000.0,896.43,5.766,0.7258
