adim,fuel,fan,sicaklik,o2,efficiency
0,16.075,1000.1,955.73,4.655,0.7226
1,16.209,994.1,962.12,4.749,0.7126
2,16.297,997.5,968.71,4.813,0.7047
3,16.142,995.6,975.59,4.877,0.6967
4,16.242,995.4,982.48,4.913,0.6908
5,16.301,991.7,989.28,4.928,0.6865
6,16.364,988.8,995.84,4.929,0.6835
7,16.16,989.5,1002.32,4.955,0.6786
8,16.08,990.5,1008.76,4.985,0.6734
9,16.021,989.9,1015.18,5.013,0.6684
10,16.158,987.4,1021.38,5.016,0.6654
11,16.19,987.2,1027.31,5.014,0.6629
12,16.209,990.6,1032.93,5.014,0.6604
13,16.274,990.5,1038.27,5.006,0.6585
14,16.23,990.3,1043.4,5.005,0.6563
15,16.379,995.8,1048.07,4.993,0.6551
16,16.571,997.1,1052.28,4.963,0.6554
17,16.467,995.2,1056.26,4.951,0.6545
18,16.468,994.9,1060.0,4.941,0.6535
19,16.325,993.2,1063.63,4.949,0.6513
20,16.515,995.9,1066.92,4.935,0.6508
21,16.896,995.1,1069.6,4.879,0.6536
22,16.872,997.2,1071.85,4.842,0.6552
23,16.803,1000.4,1073.81,4.826,0.6554
24,16.795,1000.8,1075.59,4.816,0.6553
25,16.636,1001.6,1077.39,4.828,0.6537
26,16.858,999.2,1078.99,4.808,0.6543
27,16.829,997.2,1080.47,4.794,0.6546
28,16.686,998.9,1081.96,4.802,0.6534
29,16.585,1000.8,1083.51,4.823,0.6512
30,16.695,996.3,1085.05,4.82,0.6507
31,16.662,996.5,1086.5,4.822,0.6499
32,16.778,995.7,1087.84,4.809,0.6502
33,16.693,994.0,1089.22,4.807,0.6497
34,16.844,991.2,1090.41,4.784,0.6507
35,16.911,991.9,1091.31,4.761,0.652
36,17.079,996.2,1091.82,4.728,0.654
37,17.027,998.4,1092.09,4.712,0.6549
38,17.057,997.8,1092.27,4.696,0.656
39,16.863,995.9,1092.55,4.704,0.6552
40,16.648,997.4,1093.04,4.738,0.6527
41,16.805,997.4,1093.54,4.745,0.652
42,16.8,998.1,1094.08,4.751,0.6513
43,16.754,1001.4,1094.64,4.765,0.6501
44,16.58,1007.6,1095.4,4.803,0.6471
45,16.363,1010.6,1096.54,4.861,0.6425
46,16.228,1012.7,1098.14,4.923,0.6375
47,16.006,1013.4,1100.28,4.996,0.6313
48,15.957,1010.8,1102.89,5.053,0.6261
49,15.876,1008.0,1105.85,5.103,0.6213
50,15.978,1005.6,1108.92,5.125,0.6183
51,15.862,1003.0,1112.1,5.153,0.615
52,15.809,1000.9,1115.35,5.177,0.6119
53,15.763,1002.5,1118.68,5.203,0.6087
54,15.686,1003.8,1122.08,5.232,0.6051
55,15.649,1006.3,1125.52,5.262,0.6016
56,15.749,1008.5,1128.85,5.275,0.5993
57,15.881,1008.8,1131.95,5.269,0.5983
58,15.708,1009.8,1135.02,5.287,0.5958
59,15.699,1010.9,1138.02,5.302,0.5935
60,15.855,1010.5,1140.83,5.295,0.5927
61,15.87,1011.0,1143.44,5.288,0.592
62,15.867,1013.0,1145.89,5.286,0.5911
63,16.062,1014.8,1147.99,5.264,0.5917
64,16.116,1016.7,1149.76,5.242,0.5923
65,16.017,1014.4,1151.44,5.236,0.592
66,16.139,1013.4,1152.88,5.215,0.5928
67,16.007,1014.9,1154.24,5.217,0.5921
68,16.075,1013.8,1155.51,5.209,0.592
69,15.93,1016.1,1156.81,5.223,0.5905
70,15.982,1015.3,1158.08,5.226,0.5898
71,15.953,1011.8,1159.37,5.228,0.5891
72,15.98,1010.3,1160.64,5.224,0.5888
73,15.995,1009.7,1161.82,5.219,0.5886
74,16.17,1012.2,1162.72,5.197,0.5896
75,16.057,1007.0,1163.65,5.188,0.5898
76,16.037,1006.3,1164.52,5.183,0.5898
77,16.127,1008.8,1165.18,5.172,0.5902
78,16.022,1006.1,1165.9,5.172,0.5899
79,16.178,1000.2,1166.47,5.147,0.5913
80,16.236,998.6,1166.84,5.12,0.5929
