step,temp,u_rl,fuel
0,1398.8960247925859,0.02,16.069999999552966
1,1395.533424103821,0.02,16.13999999910593
2,1390.5630891915155,0.02,16.209999998658898
3,1384.538490214102,0.02,16.279999998211863
4,1377.9071884894424,0.02,16.34999999776483
5,1371.0196244037882,0.02,16.419999997317795
6,1364.1435336358845,0.02,16.48999999687076
7,1357.478864635752,0.02,16.559999996423727
8,1351.1712023157315,0.02,16.629999995976693
9,1345.3231232371518,0.02,16.69999999552966
10,1340.0035055604321,0.02,16.769999995082625
11,1335.2550356731774,0.02,16.83999999463559
12,1331.4972423533695,0.02,16.909999994188556
13,1328.7033967447333,0.02,16.979999993741522
14,1326.8386765918397,0.02,17.049999993294488
15,1325.8626972098364,0.02,17.119999992847454
16,1325.7314787455816,0.02,17.18999999240042
17,1326.3989659263018,0.02,17.259999991953386
18,1327.818192726316,0.02,17.32999999150635
19,1329.9421654081916,0.02,17.399999991059317
20,1332.7245223749217,0.02,17.469999990612283
21,1336.1200174105547,0.02,17.53999999016525
22,1340.084863514343,0.02,17.609999989718215
23,1344.5769671051316,0.02,17.67999998927118
24,1349.5560764627269,0.02,17.749999988824147
25,1354.983863551804,0.02,17.819999988377113
26,1360.8239545877302,0.02,17.88999998793008
27,1367.041921656825,0.02,17.959999987483044
28,1373.6052452447686,0.02,18.02999998703601
29,1380.4488158949296,0.02,18.049999986588976
30,1387.458202956904,0.02,18.01999998614194
31,1394.5180597926203,0.02,17.989999985694904
32,1401.5417807090887,0.02,17.95999998524787
33,1408.4652671470162,0.02,17.929999984800833
34,1415.2420176972382,0.02,17.899999984353798
35,1421.8392619027509,0.02,17.869999983906762
36,1428.2349131039257,0.02,17.839999983459727
37,1434.4151633922324,0.02,17.80999998301269
38,1440.3725827004696,0.02,17.779999982565656
39,1446.1046148146795,0.02,17.74999998211862
40,1451.5823652202664,-0.02,17.679999982565654
41,1456.462291834941,-0.02,17.60999998301269
42,1460.4429075375213,-0.02,17.539999983459722
43,1463.5600349125357,-0.02,17.469999983906757
44,1465.8533849524579,-0.02,17.39999998435379
45,1467.365027809436,-0.02,17.329999984800825
46,1468.1424201806853,-0.02,17.264744426411923
47,1468.2914428385022,-0.02,17.262606885590017
48,1467.9596540283687,-0.02,17.28992914889216
49,1467.28221137744,-0.02,17.319929149339195
