adim,sicaklik,oksijen,yakit,fan,hedef
0,897.3685,3.5494387,12.0,100.0,1400.0280953235924
1,900.10266,3.947937,12.0,100.0,1400.0273141339421
2,893.42,4.6060524,12.0,100.0,1400.0273112561554
3,892.68665,5.055402,12.0,100.0,1400.0273120552301
4,893.9423,5.5239286,12.0,100.0,1400.0273134596646
5,893.8956,5.8751726,12.0,100.0,1400.027316255495
6,900.2653,6.323686,12.0,100.0,1400.027320254594
7,910.8619,6.6408362,12.0,100.0,1400.0273245088756
8,922.81494,6.835354,12.0,100.0,1400.0273254700005
9,937.8825,6.9734797,12.0,100.0,1400.0273236632347
10,959.00134,7.102311,12.0,100.0,1400.0273197442293
11,977.22064,7.1025968,12.0,100.0,1400.0273142736405
12,1000.5834,7.220434,12.0,100.0,1400.0273093730211
13,1030.5614,7.0042315,12.0,100.0,1400.027305971831
14,1061.85,6.9643683,12.0,100.0,1400.0273018926382
15,1096.5593,6.6702785,12.0,100.0,1400.027303043753
16,1138.13,6.3567123,12.0,100.0,1400.0273140799254
17,1183.4047,5.9283957,12.0,100.0,1400.0273739472032
18,1237.2057,5.677693,12.0,100.0,1400.027634145692
19,1295.6,5.035694,12.0,100.0,1400.0282119009644
20,1358.2721,4.6220293,12.0,100.0,1400.0281850583851
21,1422.6996,4.2518735,7.446437,99.98809,1400.0281128119677
22,1488.607,3.7020416,-9.9984545e-09,100.0,1400.028105981648
23,1552.2814,3.2831554,-9.999919e-09,100.0,1400.0281049981713
24,1602.4414,2.9701767,-9.999856e-09,100.0,1400.028102805838
25,1603.3301,2.4754505,-9.9998445e-09,100.0,1400.0281026214361
26,1599.4799,2.0842323,-9.999799e-09,100.0,1400.0281026232988
27,1599.1268,1.9343553,-9.999796e-09,100.0,1400.028102632612
28,1599.959,1.6914423,-9.999803e-09,100.0,1400.0281026344746
29,1601.6835,1.5942874,-9.999798e-09,100.0,1400.0281026363373
30,1601.069,1.6311872,-9.999802e-09,100.0,1400.0281026344746
31,1599.257,1.7558722,-9.9998e-09,100.0,1400.0281026363373
32,1601.0509,2.052756,-9.999795e-09,100.0,1400.0281026344746
33,1598.0354,2.3239894,-9.999799e-09,100.0,1400.0281026307493
34,1598.222,2.7505689,-9.999798e-09,100.0,1400.028102632612
35,1597.4327,3.2968729,-9.999799e-09,100.0,1400.028102627024
36,1598.8047,3.9077034,-9.999796e-09,100.0,1400.0281026251614
37,1599.1469,4.5956655,-9.999799e-09,100.0,1400.0281026177108
38,1599.3894,5.4112763,-9.999799e-09,100.0,1400.028102612123
39,1598.8105,6.2687464,-9.999806e-09,100.0,1400.0281026046723
40,1595.676,7.4322977,-9.9997965e-09,100.0,1400.0281025934964
41,1590.424,8.252995,-9.999787e-09,100.0,1400.028102580458
42,1586.2407,9.336539,-9.999791e-09,100.0,1400.02810257487
43,1581.6715,10.108288,-9.999784e-09,100.0,1400.0281025618315
44,1576.3936,10.025925,-9.99978e-09,100.0,1400.0281025599688
45,1573.461,9.958962,-9.999778e-09,100.0,1400.0281025655568
46,1569.2949,10.039896,-9.999778e-09,100.0,1400.0281025730073
47,1567.0181,9.945177,-9.999766e-09,100.0,1400.0281025823206
48,1560.8063,9.9959,-9.999756e-09,100.0,1400.0281025879085
49,1558.1565,10.029138,-9.999772e-09,100.0,1400.0281026028097
50,1549.7996,9.991821,-9.999745e-09,100.0,1400.0281026102602
51,1547.4866,9.983855,-9.999747e-09,100.0,1400.0281026493758
52,1544.3523,9.981706,-9.999738e-09,100.0,1400.0281026624143
53,1536.5404,10.068162,-9.999905e-09,100.0,1400.0281026829034
54,1536.0986,10.030792,-9.999719e-09,100.0,1400.028102742508
55,1529.1699,10.075353,-9.999896e-09,100.0,1400.0281027443707
56,1526.7489,10.050366,-9.999896e-09,100.0,1400.0281028170139
57,1519.4342,9.957061,-9.999885e-09,100.0,1400.0281028486788
58,1520.2339,9.998463,-9.999705e-09,100.0,1400.0281029623002
59,1510.3241,9.937533,-9.999882e-09,100.0,1400.0281029492617
60,1510.073,9.997255,-9.99988e-09,100.0,1400.0281031597406
61,1505.7266,9.989433,-9.999875e-09,100.0,1400.0281031653285
62,1501.5603,9.962858,-9.999647e-09,100.0,1400.0281032845378
63,1497.5746,9.98268,-9.999637e-09,100.0,1400.028103420511
64,1494.8772,9.990474,-9.999607e-09,100.0,1400.0281035713851
65,1491.0835,9.931481,-9.999592e-09,100.0,1400.0281036868691
66,1488.0872,9.97505,-9.999569e-09,100.0,1400.0281038731337
67,1482.408,9.967522,-9.999557e-09,100.0,1400.0281040351838
68,1477.6016,9.941968,-9.999556e-09,100.0,1400.0281044077128
69,1474.2327,9.9843445,-9.999825e-09,100.0,1400.0281047914177
70,1470.2753,9.982162,-9.9998285e-09,100.0,1400.0281050950289
71,1467.8032,10.106962,-9.999804e-09,100.0,1400.0281055122614
72,1462.459,9.968624,-9.999783e-09,100.0,1400.028105782345
73,1458.52,9.969948,-9.999765e-09,100.0,1400.0281065423042
74,1454.3264,10.060733,-9.999779e-09,100.0,1400.0281071811914
75,1448.1531,10.021562,-9.999739e-09,100.0,1400.028107944876
76,1448.6434,9.984871,-9.999726e-09,100.0,1400.0281093604863
77,1443.0751,9.97761,-9.999717e-09,100.0,1400.0281092561781
78,1439.7368,10.053205,-9.9991e-09,100.0,1400.0281108021736
79,1436.6039,10.054941,-9.999513e-09,100.0,1400.0281118433923
80,1432.3666,9.950667,-9.9987965e-09,100.0,1400.0281129777431
81,1427.6189,10.020693,-9.9981605e-09,100.0,1400.0281148143113
82,1427.3846,10.036083,-9.999245e-09,100.0,1400.0281170662493
83,1421.7028,10.052031,-9.998671e-09,100.0,1400.0281171761453
84,1416.6244,10.002632,-9.996351e-09,100.0,1400.0281204916537
85,1412.8777,9.990665,-9.99739e-09,100.0,1400.0281241312623
86,1408.2665,9.987554,-9.986596e-09,100.0,1400.02812721394
87,1405.7285,10.0608,-9.978884e-09,100.0,1400.02813154459
88,1401.5479,9.987887,-9.718381e-09,100.0,1400.0281340721995
89,1398.6921,9.995498,0.5308903,99.98247,1400.0281390938908
90,1394.5852,10.079022,0.68422794,99.977425,1400.0281373895705
91,1391.5992,9.9539995,1.5570318,99.95373,1400.0281407888979
92,1390.9583,9.994264,2.2878306,99.94103,1400.0281362719834
93,1383.8413,9.975938,3.0024986,99.93281,1400.0281308107078
94,1380.8015,9.976383,2.8816383,99.940216,1400.0281324982643
95,1384.2288,9.956295,3.6696968,99.92719,1400.0281369816512
96,1381.7566,10.004071,3.9276276,99.92525,1400.0281273070723
97,1385.6858,9.909498,3.5659764,99.933655,1400.0281276740134
98,1389.6375,10.068666,3.1203713,99.94253,1400.028126873076
99,1395.8174,9.995448,2.2960968,99.96051,1400.0281262025237
100,1406.9673,10.016326,1.0090364,99.99459,1400.0281265396625
101,1417.5325,9.907455,-9.972239e-09,100.0,1400.0281256753951
102,1424.9188,10.132904,-9.995538e-09,100.0,1400.0281235724688
103,1429.997,9.944,-9.998953e-09,100.0,1400.0281184464693
104,1434.3474,10.094904,-9.999316e-09,100.0,1400.028115928173
105,1434.1554,10.052244,-9.998469e-09,100.0,1400.0281138513237
106,1432.7128,9.913277,-9.999464e-09,100.0,1400.0281139630824
107,1429.0692,10.057512,-9.999141e-09,100.0,1400.0281146876514
108,1425.9653,9.993584,-9.9979385e-09,100.0,1400.0281162913889
109,1422.6178,10.013819,-9.998967e-09,100.0,1400.0281179882586
110,1418.8016,9.929884,-9.996214e-09,100.0,1400.028119949624
111,1414.7689,9.973918,-9.997427e-09,100.0,1400.0281226113439
112,1410.1157,9.917146,-9.996019e-09,100.0,1400.0281256437302
113,1405.2655,10.010322,-9.983267e-09,100.0,1400.0281298514456
114,1404.1217,9.961382,-9.966855e-09,100.0,1400.0281346775591
115,1399.2047,9.968904,-9.9004165e-09,100.0,1400.028136068955
116,1397.2324,9.954592,0.583992,99.98079,1400.0281421560794
117,1390.9015,9.944022,1.0260679,99.96727,1400.028138736263
118,1389.2886,10.073008,2.0154748,99.944435,1400.0281423851848
119,1385.5725,10.075748,2.6188095,99.938034,1400.0281345918775
120,1382.6433,10.010643,3.0781045,99.93391,1400.0281335953623
121,1380.4146,9.924408,4.2521334,99.9173,1400.0281331073493
122,1381.7454,10.014076,4.153913,99.92296,1400.0281267650425
123,1381.182,10.083707,4.32141,99.92215,1400.0281261838973
124,1390.0277,10.0827,4.0641184,99.9276,1400.0281254891306
125,1392.4606,9.992346,2.441389,99.962,1400.0281205177307
126,1398.8683,9.967171,2.039976,99.96751,1400.028128553182
127,1408.6508,9.959418,0.21342914,100.0,1400.028125723824
128,1423.348,10.100618,-9.991378e-09,100.0,1400.028129639104
129,1434.6956,10.096224,-9.998438e-09,100.0,1400.0281194075942
130,1441.0665,9.979671,-9.99936e-09,100.0,1400.0281137079
131,1447.3965,9.967329,-9.999525e-09,100.0,1400.0281114391983
132,1445.6685,10.042197,-9.998962e-09,100.0,1400.028109582141
133,1443.5505,9.921865,-9.999647e-09,100.0,1400.0281100161374
134,1441.2262,10.005833,-9.99967e-09,100.0,1400.0281106866896
135,1434.6307,10.037459,-9.998906e-09,100.0,1400.0281113702804
136,1434.1388,10.050193,-9.999451e-09,100.0,1400.0281137749553
137,1429.5363,9.918922,-9.998247e-09,100.0,1400.0281139723957
138,1423.2203,9.94073,-9.997914e-09,100.0,1400.0281161777675
139,1418.2145,10.10414,-9.998996e-09,100.0,1400.0281196571887
140,1415.7231,10.017508,-9.99513e-09,100.0,1400.0281228125095
141,1414.3828,9.915376,-9.9917745e-09,100.0,1400.0281248129904
142,1410.4204,9.931193,-9.988842e-09,100.0,1400.0281260479242
143,1407.0383,10.006623,-9.99451e-09,100.0,1400.0281295385212
144,1403.0542,10.106435,-8.960254e-09,100.0,1400.0281327739358
145,1400.6522,10.014012,0.30140528,99.990105,1400.0281370151788
146,1397.1343,9.967033,1.1914829,99.96337,1400.0281371995807
147,1390.7184,10.018173,1.9407058,99.94663,1400.0281332992017
148,1388.4547,9.907902,2.030972,99.94952,1400.0281337872148
149,1380.876,9.986227,2.794346,99.93806,1400.028135817498
150,1378.345,10.015539,3.1345334,99.93495,1400.0281376168132
151,1380.813,9.940826,4.182726,99.91939,1400.0281374696642
152,1382.7922,10.058052,3.7126682,99.93089,1400.0281268656254
153,1387.7378,10.02127,3.4467926,99.93626,1400.0281281657517
154,1390.9746,10.0030985,2.3779244,99.959694,1400.0281257517636
155,1398.181,10.060595,1.6721665,99.97543,1400.028130358085
156,1405.688,9.944913,1.154462,99.98789,1400.0281286686659
157,1414.8584,10.018864,-9.980142e-09,100.0,1400.0281258579344
158,1422.8046,10.060208,-9.996964e-09,100.0,1400.0281255058944
159,1429.4906,10.055861,-9.997306e-09,100.0,1400.0281197819859
160,1431.8287,10.129722,-9.999182e-09,100.0,1400.02811608091
161,1430.3473,10.005588,-9.999345e-09,100.0,1400.0281149186194
162,1429.8385,9.967003,-9.999388e-09,100.0,1400.028115708381
163,1426.6884,10.025424,-9.999184e-09,100.0,1400.028115985915
164,1422.3022,9.969987,-9.9967545e-09,100.0,1400.0281175598502
165,1414.6826,10.026583,-9.994897e-09,100.0,1400.028120201081
166,1413.7189,9.97135,-9.997671e-09,100.0,1400.0281256381422
167,1410.72,9.896722,-9.984666e-09,100.0,1400.028126521036
168,1408.5178,10.056515,-9.959562e-09,100.0,1400.028129313141
169,1401.7244,10.047062,0.14115599,99.99581,1400.0281311701983
170,1396.4723,10.029556,0.5773828,99.98146,1400.0281373858452
171,1395.1469,10.062973,0.56820583,99.98167,1400.028139591217
172,1391.2083,9.95377,1.3920833,99.95824,1400.0281413067132
173,1390.0675,10.007037,1.6745648,99.952835,1400.0281382873654
174,1384.4202,10.035766,2.8383272,99.93358,1400.0281368996948
175,1383.6112,10.081253,2.9694655,99.936646,1400.0281330794096
176,1383.6696,10.04446,3.5127623,99.92916,1400.0281328428537
177,1382.5953,10.132296,3.9153368,99.9247,1400.0281287394464
178,1385.5516,10.01116,3.680791,99.93108,1400.0281268060207
179,1387.1794,9.979798,3.7005062,99.93123,1400.028126064688
180,1395.9487,10.009143,2.419511,99.95952,1400.0281246770173
181,1404.4106,9.935883,1.6256806,99.977264,1400.028125623241
